run_nb	start_time	end_time
300375	03-AUG-17 01.58.15.000000 PM	03-AUG-17 02.34.00.000000 PM
300389	03-AUG-17 06.48.33.000000 PM	03-AUG-17 07.46.03.000000 PM
300390	03-AUG-17 07.49.51.000000 PM	03-AUG-17 07.57.14.000000 PM
300391	03-AUG-17 07.58.56.000000 PM	03-AUG-17 08.06.42.000000 PM
300392	03-AUG-17 08.08.11.000000 PM	03-AUG-17 08.15.57.000000 PM
300393	03-AUG-17 08.17.56.000000 PM	03-AUG-17 08.25.19.000000 PM
300394	03-AUG-17 08.27.18.000000 PM	03-AUG-17 08.35.04.000000 PM
300395	03-AUG-17 08.36.48.000000 PM	03-AUG-17 08.44.11.000000 PM
300396	03-AUG-17 08.46.06.000000 PM	03-AUG-17 08.53.29.000000 PM
300397	03-AUG-17 08.55.35.000000 PM	03-AUG-17 09.02.56.000000 PM
300398	03-AUG-17 09.05.16.000000 PM	03-AUG-17 09.12.39.000000 PM
300399	03-AUG-17 09.15.05.000000 PM	03-AUG-17 09.22.28.000000 PM
300400	03-AUG-17 09.26.33.000000 PM	04-AUG-17 01.49.12.000000 AM
300401	04-AUG-17 02.03.03.000000 AM	04-AUG-17 06.17.08.000000 AM
300459	04-AUG-17 12.16.31.000000 PM	04-AUG-17 02.09.58.000000 PM
300461	04-AUG-17 02.16.24.000000 PM	04-AUG-17 02.54.05.000000 PM
300462	04-AUG-17 02.56.36.000000 PM	04-AUG-17 03.33.54.000000 PM
300463	04-AUG-17 03.38.41.000000 PM	04-AUG-17 04.26.27.000000 PM
300464	04-AUG-17 04.34.29.000000 PM	04-AUG-17 06.17.03.000000 PM
300466	04-AUG-17 06.25.04.000000 PM	04-AUG-17 10.37.13.000000 PM
300467	04-AUG-17 10.39.50.000000 PM	05-AUG-17 02.18.11.000000 AM
300497	05-AUG-17 07.32.31.000000 AM	05-AUG-17 08.30.24.000000 AM
300514	05-AUG-17 12.01.12.000000 PM	05-AUG-17 12.44.43.000000 PM
300515	05-AUG-17 12.46.59.000000 PM	05-AUG-17 07.20.10.000000 PM
300516	05-AUG-17 07.30.11.000000 PM	05-AUG-17 08.12.55.000000 PM
300517	05-AUG-17 08.16.08.000000 PM	06-AUG-17 12.17.48.000000 AM
300558	06-AUG-17 11.30.09.000000 AM	06-AUG-17 02.59.57.000000 PM
300560	06-AUG-17 03.03.17.000000 PM	06-AUG-17 08.30.47.000000 PM
300574	07-AUG-17 02.51.21.000000 AM	07-AUG-17 03.28.39.000000 AM
300575	07-AUG-17 03.34.38.000000 AM	07-AUG-17 04.06.06.000000 AM
300576	07-AUG-17 04.08.51.000000 AM	07-AUG-17 11.54.41.000000 AM
300631	07-AUG-17 03.33.52.000000 PM	07-AUG-17 04.45.45.000000 PM
300632	07-AUG-17 04.47.36.000000 PM	07-AUG-17 04.55.22.000000 PM
300633	07-AUG-17 04.58.51.000000 PM	07-AUG-17 07.52.08.000000 PM
300635	07-AUG-17 08.07.40.000000 PM	07-AUG-17 09.15.40.000000 PM
300636	07-AUG-17 09.23.45.000000 PM	08-AUG-17 07.34.06.000000 AM
300673	08-AUG-17 10.48.21.000000 AM	08-AUG-17 10.58.04.000000 AM
300674	08-AUG-17 11.03.35.000000 AM	08-AUG-17 11.16.01.000000 AM
300675	08-AUG-17 11.18.45.000000 AM	08-AUG-17 11.31.10.000000 AM
300676	08-AUG-17 11.31.56.000000 AM	08-AUG-17 11.41.39.000000 AM
300742	08-AUG-17 05.08.59.000000 PM	08-AUG-17 07.00.29.000000 PM
300777	09-AUG-17 04.47.36.000000 AM	09-AUG-17 07.57.12.000000 AM
300780	09-AUG-17 08.01.23.000000 AM	09-AUG-17 10.12.42.000000 AM
300785	09-AUG-17 10.49.34.000000 AM	09-AUG-17 07.03.22.000000 PM
300806	09-AUG-17 09.47.21.000000 PM	09-AUG-17 10.56.31.000000 PM
300811	09-AUG-17 11.03.46.000000 PM	10-AUG-17 02.18.48.000000 AM
300812	10-AUG-17 02.25.24.000000 AM	10-AUG-17 02.47.56.000000 AM
300816	10-AUG-17 02.54.46.000000 AM	10-AUG-17 03.55.00.000000 AM
300817	10-AUG-17 03.55.19.000000 AM	10-AUG-17 07.06.28.000000 AM
301046	12-AUG-17 01.36.15.000000 AM	12-AUG-17 01.59.57.000000 AM
301141	14-AUG-17 12.14.40.000000 PM	14-AUG-17 12.17.00.000000 PM
301142	14-AUG-17 12.20.37.000000 PM	14-AUG-17 06.08.44.000000 PM
301161	14-AUG-17 09.38.32.000000 PM	15-AUG-17 02.37.18.000000 AM
301165	15-AUG-17 02.39.09.000000 AM	15-AUG-17 03.35.06.000000 AM
301179	15-AUG-17 07.58.06.000000 AM	15-AUG-17 08.07.26.000000 AM
301180	15-AUG-17 08.08.13.000000 AM	15-AUG-17 08.45.31.000000 AM
301183	15-AUG-17 08.47.34.000000 AM	15-AUG-17 10.44.07.000000 AM
301281	15-AUG-17 11.07.42.000000 PM	15-AUG-17 11.53.56.000000 PM
301283	15-AUG-17 11.59.33.000000 PM	16-AUG-17 05.42.37.000000 AM
301298	16-AUG-17 09.17.06.000000 AM	16-AUG-17 03.08.19.000000 PM
301323	16-AUG-17 06.21.28.000000 PM	17-AUG-17 12.32.30.000000 AM
301330	17-AUG-17 05.31.25.000000 AM	17-AUG-17 07.40.01.000000 AM
301359	17-AUG-17 11.07.05.000000 AM	17-AUG-17 12.58.12.000000 PM
301384	17-AUG-17 03.43.36.000000 PM	17-AUG-17 06.48.09.000000 PM
301391	17-AUG-17 09.43.51.000000 PM	17-AUG-17 10.52.14.000000 PM
301392	17-AUG-17 10.57.14.000000 PM	18-AUG-17 03.00.26.000000 AM
301393	18-AUG-17 03.04.23.000000 AM	18-AUG-17 03.10.36.000000 AM
301396	18-AUG-17 03.39.06.000000 AM	18-AUG-17 03.51.31.000000 AM
301397	18-AUG-17 03.55.16.000000 AM	18-AUG-17 08.37.43.000000 AM
301398	18-AUG-17 08.43.05.000000 AM	18-AUG-17 08.46.11.000000 AM
301399	18-AUG-17 08.50.12.000000 AM	18-AUG-17 09.31.46.000000 AM
301417	18-AUG-17 12.47.02.000000 PM	18-AUG-17 02.50.12.000000 PM
301447	19-AUG-17 11.30.21.000000 AM	19-AUG-17 02.15.52.000000 PM
301448	19-AUG-17 02.20.04.000000 PM	19-AUG-17 04.27.30.000000 PM
301449	19-AUG-17 04.30.03.000000 PM	19-AUG-17 07.06.37.000000 PM
301450	19-AUG-17 07.07.02.000000 PM	19-AUG-17 08.13.52.000000 PM
301461	19-AUG-17 11.00.39.000000 PM	20-AUG-17 02.35.30.000000 AM
301472	20-AUG-17 02.12.08.000000 PM	20-AUG-17 07.21.00.000000 PM
301475	20-AUG-17 07.47.02.000000 PM	20-AUG-17 07.53.36.000000 PM
301476	20-AUG-17 07.53.54.000000 PM	21-AUG-17 01.21.25.000000 AM
301519	21-AUG-17 01.13.29.000000 PM	21-AUG-17 02.34.17.000000 PM
301524	21-AUG-17 02.45.22.000000 PM	21-AUG-17 04.27.09.000000 PM
301529	21-AUG-17 05.22.10.000000 PM	21-AUG-17 05.40.49.000000 PM
301530	21-AUG-17 05.44.34.000000 PM	21-AUG-17 06.26.55.000000 PM
301531	21-AUG-17 06.34.34.000000 PM	21-AUG-17 09.07.15.000000 PM
301532	21-AUG-17 09.12.59.000000 PM	22-AUG-17 01.09.59.000000 AM
301567	22-AUG-17 08.46.48.000000 AM	22-AUG-17 11.05.53.000000 AM
301627	22-AUG-17 11.21.43.000000 PM	23-AUG-17 05.05.56.000000 AM
301664	23-AUG-17 12.24.23.000000 PM	23-AUG-17 03.06.24.000000 PM
301665	23-AUG-17 03.07.51.000000 PM	23-AUG-17 06.16.41.000000 PM
301694	24-AUG-17 04.23.23.000000 AM	24-AUG-17 04.49.01.000000 AM
301912	26-AUG-17 01.57.23.000000 PM	26-AUG-17 04.24.38.000000 PM
301913	26-AUG-17 04.26.53.000000 PM	26-AUG-17 04.49.02.000000 PM
301914	26-AUG-17 04.50.06.000000 PM	26-AUG-17 07.05.41.000000 PM
301941	27-AUG-17 09.32.02.000000 AM	27-AUG-17 01.00.40.000000 PM
301959	27-AUG-17 06.23.25.000000 PM	28-AUG-17 06.44.43.000000 AM
301960	28-AUG-17 06.47.36.000000 AM	28-AUG-17 07.44.18.000000 AM
301970	28-AUG-17 10.42.12.000000 AM	28-AUG-17 11.27.39.000000 AM
301984	28-AUG-17 02.13.01.000000 PM	28-AUG-17 04.09.34.000000 PM
301985	28-AUG-17 04.11.54.000000 PM	28-AUG-17 06.34.04.000000 PM
301986	28-AUG-17 06.34.30.000000 PM	28-AUG-17 09.02.08.000000 PM
301987	28-AUG-17 09.03.27.000000 PM	29-AUG-17 04.21.18.000000 AM
301997	29-AUG-17 06.55.19.000000 AM	29-AUG-17 09.19.04.000000 AM
301998	29-AUG-17 09.19.31.000000 AM	29-AUG-17 08.21.10.000000 PM
302019	30-AUG-17 03.40.54.000000 AM	30-AUG-17 04.01.06.000000 AM
302026	30-AUG-17 06.49.09.000000 AM	30-AUG-17 07.07.48.000000 AM
302029	30-AUG-17 07.16.38.000000 AM	30-AUG-17 07.54.20.000000 AM
302031	30-AUG-17 08.08.29.000000 AM	30-AUG-17 01.25.54.000000 PM
302033	30-AUG-17 01.34.23.000000 PM	30-AUG-17 01.51.52.000000 PM
302034	30-AUG-17 01.54.42.000000 PM	30-AUG-17 02.02.05.000000 PM
302037	30-AUG-17 02.25.39.000000 PM	30-AUG-17 02.26.25.000000 PM
302040	30-AUG-17 02.35.43.000000 PM	30-AUG-17 03.42.56.000000 PM
302041	30-AUG-17 03.44.00.000000 PM	30-AUG-17 04.11.36.000000 PM
302042	30-AUG-17 04.12.12.000000 PM	30-AUG-17 07.35.00.000000 PM
302043	30-AUG-17 07.35.17.000000 PM	30-AUG-17 09.03.29.000000 PM
302131	31-AUG-17 12.32.49.000000 PM	31-AUG-17 06.11.36.000000 PM
302159	01-SEP-17 12.37.45.000000 AM	01-SEP-17 01.19.20.000000 AM
302163	01-SEP-17 03.33.23.000000 AM	01-SEP-17 11.18.49.000000 AM
302165	01-SEP-17 11.25.29.000000 AM	01-SEP-17 11.58.07.000000 AM
302166	01-SEP-17 11.58.48.000000 AM	01-SEP-17 12.04.38.000000 PM
302225	01-SEP-17 06.41.42.000000 PM	02-SEP-17 12.19.20.000000 AM
302228	02-SEP-17 03.31.11.000000 AM	02-SEP-17 05.02.29.000000 AM
302229	02-SEP-17 05.05.33.000000 AM	02-SEP-17 08.02.43.000000 AM
302240	02-SEP-17 10.53.49.000000 AM	02-SEP-17 05.06.24.000000 PM
302262	03-SEP-17 03.32.01.000000 AM	03-SEP-17 06.20.38.000000 AM
302263	03-SEP-17 06.21.33.000000 AM	03-SEP-17 02.26.48.000000 PM
302277	03-SEP-17 10.44.53.000000 PM	04-SEP-17 01.10.58.000000 AM
302279	04-SEP-17 07.35.59.000000 AM	04-SEP-17 08.03.10.000000 AM
302280	04-SEP-17 08.06.52.000000 AM	04-SEP-17 09.05.31.000000 AM
302322	04-SEP-17 05.43.03.000000 PM	04-SEP-17 11.08.14.000000 PM
302328	05-SEP-17 01.49.04.000000 AM	05-SEP-17 06.13.16.000000 AM
302337	05-SEP-17 09.16.54.000000 AM	05-SEP-17 10.09.21.000000 AM
302342	05-SEP-17 10.22.41.000000 AM	05-SEP-17 10.43.16.000000 AM
302343	05-SEP-17 10.52.16.000000 AM	05-SEP-17 11.29.57.000000 AM
302344	05-SEP-17 11.33.15.000000 AM	05-SEP-17 02.39.20.000000 PM
302350	05-SEP-17 03.02.18.000000 PM	05-SEP-17 03.54.45.000000 PM
302388	05-SEP-17 06.47.02.000000 PM	05-SEP-17 11.15.07.000000 PM
302392	06-SEP-17 01.57.38.000000 AM	06-SEP-17 04.18.16.000000 AM
302393	06-SEP-17 04.19.09.000000 AM	06-SEP-17 10.03.23.000000 AM
302448	06-SEP-17 08.48.45.000000 PM	07-SEP-17 09.08.52.000000 AM
302472	07-SEP-17 11.26.59.000000 AM	07-SEP-17 04.30.01.000000 PM
302473	07-SEP-17 04.32.57.000000 PM	07-SEP-17 07.10.18.000000 PM
302474	07-SEP-17 07.17.18.000000 PM	07-SEP-17 09.15.24.000000 PM
302475	07-SEP-17 09.17.58.000000 PM	07-SEP-17 09.20.18.000000 PM
302476	07-SEP-17 09.22.32.000000 PM	07-SEP-17 11.02.47.000000 PM
302479	08-SEP-17 01.19.43.000000 AM	08-SEP-17 03.20.09.000000 AM
302484	08-SEP-17 06.07.18.000000 AM	08-SEP-17 07.12.35.000000 AM
302485	08-SEP-17 07.17.25.000000 AM	08-SEP-17 01.15.14.000000 PM
302492	08-SEP-17 01.49.02.000000 PM	08-SEP-17 02.08.04.000000 PM
302493	08-SEP-17 02.09.59.000000 PM	08-SEP-17 02.12.19.000000 PM
302494	08-SEP-17 02.13.24.000000 PM	08-SEP-17 06.13.07.000000 PM
302509	08-SEP-17 11.12.14.000000 PM	08-SEP-17 11.19.37.000000 PM
302513	09-SEP-17 02.18.37.000000 AM	09-SEP-17 02.38.49.000000 AM
302522	09-SEP-17 07.21.37.000000 AM	09-SEP-17 07.28.13.000000 AM
302523	09-SEP-17 07.29.07.000000 AM	09-SEP-17 07.51.39.000000 AM
302525	09-SEP-17 07.58.46.000000 AM	09-SEP-17 01.00.38.000000 PM
302526	09-SEP-17 01.00.58.000000 PM	09-SEP-17 04.46.42.000000 PM
302548	10-SEP-17 01.59.07.000000 AM	10-SEP-17 02.31.45.000000 AM
302551	10-SEP-17 02.41.42.000000 AM	10-SEP-17 02.44.02.000000 AM
302553	10-SEP-17 02.50.55.000000 AM	10-SEP-17 04.03.34.000000 AM
302554	10-SEP-17 04.05.18.000000 AM	10-SEP-17 04.07.38.000000 AM
302555	10-SEP-17 04.09.27.000000 AM	10-SEP-17 04.13.21.000000 AM
302563	10-SEP-17 07.12.18.000000 AM	10-SEP-17 07.14.38.000000 AM
302565	10-SEP-17 07.21.03.000000 AM	10-SEP-17 07.23.23.000000 AM
302572	10-SEP-17 08.51.54.000000 AM	10-SEP-17 10.42.38.000000 AM
302573	10-SEP-17 10.44.46.000000 AM	10-SEP-17 07.03.36.000000 PM
302596	11-SEP-17 03.28.46.000000 AM	11-SEP-17 09.33.35.000000 AM
302597	11-SEP-17 09.35.10.000000 AM	11-SEP-17 04.24.16.000000 PM
302634	12-SEP-17 01.21.56.000000 AM	12-SEP-17 05.15.26.000000 AM
302635	12-SEP-17 05.18.01.000000 AM	12-SEP-17 01.39.12.000000 PM
302651	12-SEP-17 04.37.00.000000 PM	12-SEP-17 05.34.30.000000 PM
302654	12-SEP-17 05.38.01.000000 PM	12-SEP-17 07.40.46.000000 PM
302661	12-SEP-17 10.27.07.000000 PM	12-SEP-17 10.54.42.000000 PM
302663	12-SEP-17 11.00.31.000000 PM	13-SEP-17 03.34.25.000000 AM
303825	24-SEP-17 07.38.22.000000 AM	24-SEP-17 08.47.55.000000 AM
303832	24-SEP-17 11.12.03.000000 AM	24-SEP-17 11.14.18.000000 PM
303838	25-SEP-17 01.48.14.000000 AM	25-SEP-17 02.41.23.000000 PM
303885	25-SEP-17 07.09.19.000000 PM	26-SEP-17 08.03.14.000000 AM
303948	26-SEP-17 12.47.20.000000 PM	26-SEP-17 11.17.54.000000 PM
303998	27-SEP-17 07.04.50.000000 AM	27-SEP-17 08.46.14.000000 AM
303999	27-SEP-17 08.51.44.000000 AM	27-SEP-17 01.43.06.000000 PM
304000	27-SEP-17 01.43.21.000000 PM	27-SEP-17 02.04.43.000000 PM
304062	27-SEP-17 08.37.26.000000 PM	28-SEP-17 09.18.55.000000 AM
304119	28-SEP-17 12.28.48.000000 PM	28-SEP-17 12.59.29.000000 PM
304120	28-SEP-17 01.00.39.000000 PM	28-SEP-17 02.38.33.000000 PM
304125	28-SEP-17 02.40.13.000000 PM	29-SEP-17 02.07.07.000000 AM
304144	29-SEP-17 05.27.56.000000 AM	29-SEP-17 10.10.19.000000 PM
304158	30-SEP-17 06.34.03.000000 AM	30-SEP-17 07.00.47.000000 PM
304169	30-SEP-17 10.12.02.000000 PM	01-OCT-17 09.05.55.000000 AM
304170	01-OCT-17 09.08.29.000000 AM	01-OCT-17 01.08.58.000000 PM
304199	01-OCT-17 06.52.33.000000 PM	01-OCT-17 06.55.40.000000 PM
304200	01-OCT-17 06.55.58.000000 PM	01-OCT-17 09.00.16.000000 PM
304204	01-OCT-17 11.41.29.000000 PM	02-OCT-17 03.15.56.000000 AM
304209	02-OCT-17 05.33.50.000000 AM	02-OCT-17 08.18.57.000000 AM
304291	02-OCT-17 05.40.13.000000 PM	02-OCT-17 05.51.29.000000 PM
304292	02-OCT-17 05.51.42.000000 PM	03-OCT-17 05.34.56.000000 AM
304333	03-OCT-17 11.50.17.000000 AM	03-OCT-17 10.03.45.000000 PM
