#Data tag : 24v1 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
274442:4990,06/06/16 03:05:09,757,757,0.103927534,0.100006199
274443:4990,06/06/16 08:14:36,50,50,0.006386209,0.006212415
274954:5005,06/11/16 11:40:51,24,21,0.001360833,0.000974299
274955:5005,06/11/16 11:52:07,98,91,0.005444348,0.004820249
274956:5005,06/11/16 12:35:55,176,176,0.005983856,0.005869428
274957:5005,06/11/16 13:46:38,42,39,0.002275596,0.002008769
274958:5005,06/11/16 14:02:52,300,300,0.015893737,0.015191270
274959:5005,06/11/16 16:14:54,304,304,0.014633664,0.014045188
274967:5013,06/12/16 00:28:44,47,46,0.008342471,0.002552957
274968:5013,06/12/16 00:51:22,1206,1205,0.206776286,0.195698191
274969:5013,06/12/16 08:41:54,1007,1003,0.137658935,0.127759847
274970:5013,06/12/16 15:12:54,47,47,0.005763101,0.004336803
274971:5013,06/12/16 15:33:30,905,905,0.101595307,0.098459293
274998:5017,06/13/16 06:19:30,732,725,0.122789125,0.114126647
274999:5017,06/13/16 11:04:45,1257,1252,0.172086271,0.164254471
275000:5017,06/13/16 19:15:35,140,140,0.016957498,0.015947691
275001:5017,06/13/16 20:12:42,2061,2061,0.205020902,0.199684746
275059:5020,06/14/16 18:49:52,73,65,0.014458482,0.010834044
275062:5020,06/14/16 19:19:10,8,4,0.001677344,0.000064130
275063:5020,06/14/16 19:23:09,17,13,0.003547505,0.000019268
275064:5020,06/14/16 19:29:51,34,31,0.007038093,0.005918443
275066:5020,06/14/16 19:45:35,111,105,0.022386851,0.018455627
275067:5020,06/14/16 20:28:40,396,396,0.075059031,0.071620415
275068:5020,06/14/16 23:05:49,922,921,0.149901050,0.143137052
275073:5020,06/15/16 05:32:47,523,519,0.071799329,0.068508877
275074:5020,06/15/16 08:56:59,647,647,0.078909615,0.076334143
275124:5021,06/15/16 19:50:26,328,328,0.059890435,0.056673718
275125:5021,06/15/16 22:00:21,989,989,0.157464292,0.150728669
275282:5024,06/17/16 02:05:52,96,91,0.016829141,0.014901711
275283:5024,06/17/16 02:43:11,137,132,0.024451785,0.022437984
